アクロバット	団/だん
レイヨウ	群れ/むれ
ハチ	群れ/むれ/巣箱/すばこ/蜂群/はちぐん/巣/す
鳥	群れ/むれ/家畜/かちく
本	図書館/としょかん/棚/たな/コレクション/会計/かいけい/会計制度/かいけいせいど/会計_制度/かいけい_せいど/会計処理法/かいけいしょりほう/会計_処理_法/かいけい_しょり_ほう
子牛	群れ/むれ
車	列/れつ
人	ごみ
国民	国/くに/国家/こっか
選手	チーム/道場/どうじょう
県	国家/こっか/国/くに
町	市/し
部	会社/かいしゃ/企業/きぎょう/大学/だいがく
象	群れ/むれ
従業員	スタッフ/会社/かいしゃ
花	花束/はなたば
銀河	宇宙/うちゅう
委員	委員会/いいんかい
親	父母会/ふぼかい
審査員	審査員団/しんさいんだん
文字	アルファベット
視聴者	聴衆/ちょうしゅう/観衆/かんしゅう
メンバー	クラブ/チーム/グループ/バンド/コミュニティー/オーケストラ
会員	クラブ/会/かい
ページ	本/ほん/ノート/ウェブサイト
人	社会/しゃかい/会社/かいしゃ/グループ/世界/せかい
写真	アルバム/写真集/しゃしんしゅう/写真館/しゃしんかん
警察官	警察/けいさつ
生徒	クラス/組/くみ/学校/がっこう
事務員	スタッフ
議員	上院/じょういん/議院/ぎいん
木	森/もり/林/はやし/並木/なみき
軍人	陸軍/りくぐん/部隊/ぶたい/師団/しだん/軍隊/ぐんたい
曲	アルバム/コレクション
配偶者	家族/かぞく/キャップ
星	星座/せいざ/銀河/ぎんが
単語	段落/だんらく/文/ぶん/文章/ぶんしょう
絵	コレクション
ダンサー	グループ
部員	空手部/からてぶ
会議員	会議/かいぎ
医者	病院/びょういん
委員	委員会/いいんかい
俳優	劇団/げきだん
暴力者	暴力団/ぼうりょくだん
主人公	映画/えいが
歌手	バンド/デュオ/トリオ/カルテット
消防士	消防署/しょうぼうしょ
常連	店/みせ
部首	漢字/かんじ
